Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 17 | 2026-04-19 - 2026-04-25 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"solid wood live edge floating shelf 36”","277","19","386","71","18.39","8","42.11","1","12.5","94.99","94.99","0","0","7","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"heavy duty 24x10 shelves","335","1","22","4","18.18","2","200.0","2","100.0","24.99","24.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"wall shelf 12 inch","421","32","955","23","2.41","10","31.25","1","10.0","15.99","26.99","3","0","0","2","6.25","0","0.0","14.5",,"1","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"live edge walnut floating shelves","508","37","841","51","6.06","16","43.24","0","0.0","76.49",,"0","5","4","1","2.7","0","0.0","115.97",,"0","1","0","1","2.7","0","0.0","115.97",,"0","1","0","2026-04-25"
"solid wood shelf","339","345","9995","41","0.41","140","40.58","1","0.71","79.99","89.99","3","29","39","16","4.64","0","0.0","69.99",,"0","1","8","2","0.58","0","0.0","59.99",,"0","0","2","2026-04-25"
"40x60cm picture frame","208","19","504","1","0.2","21","110.53","1","4.76","36.99","47.99","0","2","7","13","68.42","1","7.69","36.99","47.99","0","2","5","0","0.0","0",,,,"0","0","0","2026-04-25"
"48 x 12 industrial shelves","816","4","88","4","4.55","2","50.0","1","50.0","72.99","72.99","0","0","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"plastic 11x14 picture frame","743","10","198","5","2.53","1","10.0","1","100.0","27.99","27.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"12 inch deep floating shelf","281","68","2040","30","1.47","40","58.82","2","5.0","35.99","26.99","3","8","21","4","5.88","0","0.0","31.99",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-25"
"high weight capacity wall shelves","448","33","730","18","2.47","8","24.24","1","12.5","64.99","26.99","0","6","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
